KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
AlienBlocks,Alien Hull Blocks,Alien Baublöcke,Blocs Alien,Blocchi da Costruzione Alieni,"Bloques de Casco Alienígena",Blocos de Construção Alien,Blocos de Construção Alienígena,,Строительные блоки инопланетян,エイリアンブロック,外星建筑方块,外星建築方塊,외계 빌딩 블록,,,Buitenaardse blokken,Khối xây dựng ngoài hành tinh
AlienFull,Xenomaterial,Alienblock,Bloc Alien,Blocco Alieno,"Xenomaterial",Bloco Alien,Bloco Alienígena,Blok obcych,Блок инопланетян,エイリアンブロック,外星方块,外星方塊,외계 블록,,,Buitenaards blok,Khối ngoài hành tinh
AlienThin,Xenomaterial,Alienblock,Bloc Alien,Blocco Alieno,"Xenomaterial",Bloco Alien,Bloco Alienígena,Blok obcych,Блок инопланетян,エイリアンブロック,外星方块,外星方塊,외계 블록,,,Buitenaards blok,Khối ngoài hành tinh
ConcreteDestroyedBlocks,Concrete Blocks (Damaged),Betonblöcke - zerstört,Blocs béton - détruits,Blocchi di Calcestruzzo - Distrutti,"Bloques de Hormigón (Dañados)",Blocos de Cimento - Destruídos,Blocos de Concreto - Destruído,,Бетонные блоки - разбитые,コンクリート - 破損,水泥方块 - 已损毁,混凝土方塊 - 已摧毀,콘크리트 블록 - 파괴됨,,,Beton blokken - Vernietigd,Khối bê tông - Đã bị phá huỷ
ConcreteFullDestroyed,Concrete Block (Damaged),Betonblock - zerstört,Bloc béton - détruit,Blocco di Calcestruzzo - Distrutto,"Bloque de Hormigón (Dañado)",Bloco de Cimento - Destruído,Bloco de Concreto - Destruído,Blok betonowy - zniszczony,Бетонный блок - разбитый,コンクリート - 破損,水泥方块 - 已损毁,混凝土方塊 - 已摧毀,콘크리트 블록 - 파괴됨,,,Beton blok - Vernietigd,Khối bê tông - Đã bị phá huỷ
ConcreteThinDestroyed,Concrete Thin Block (Damaged),Betonblöcke (dünn) - zerstört,Blocs béton (fin) - détruits,Blocchi di Calcestruzzo (Sottile) - Distrutti,"Bloque Fino de Hormigón (Dañado)",Blocos de Cimento (finos) - Destruídos,Blocos de Aço (fino) - Destruído,"Bloki betonowe, płaskie, zniszczone (grupa)",Бетонные блоки (тонкие) - разбитые,コンクリート (薄型) - 破損,水泥方块 (薄型) - 已损毁,混凝土方塊（薄） - 已摧毀,콘크리트 블록(얇음) - 파괴됨,,,Beton blokken (Smal) - Vernietigd,Khối bê tông (mỏng) - Đã bị phá huỷ
ConcreteBlocks,Concrete Blocks,Betonblöcke,Blocs béton,Blocchi di Calcestruzzo,"Bloques de Hormigón",Blocos de Cimento,Blocos de Concreto,,Бетонные блоки,コンクリート,水泥方块,混凝土方塊,콘크리트 블록,,,Beton blokken,Khối bê tông
ConcreteFull,Concrete Block,Betonblock,Bloc béton,Blocco di Calcestruzzo,"Bloque de Hormigón",Bloco de Cimento,Bloco de Concreto,Blok betonowy,Бетонный блок,コンクリート,水泥方块,混凝土方塊,콘크리트 블록,,,Beton blok,Khối bê tông
ConcreteThin,Concrete Thin Block,Betonblock,Bloc béton,Blocco di Calcestruzzo,"Bloque Fino de Hormigón",Bloco de Cimento,Bloco de Concreto,Blok betonowy,Бетонный блок,コンクリート,水泥方块,混凝土方塊,콘크리트 블록,,,Beton blok,Khối bê tông
ConcreteThinBlocks,Concrete Thin Blocks,Betonblöcke (dünn),Blocs béton (fin),Blocchi di Calcestruzzo (Sottile),"Bloques Finos de Hormigón",Blocos de Cimento (finos),Blocos de Concreto (fino),"Bloki betonowe, płaskie (grupa)",Бетонные блоки (тонкие),コンクリート (薄型),水泥方块 (薄型),混凝土方塊（薄）,콘크리트 블록(얇음),,,Beton blokken (Smal),Khối bê tông (mỏng)
GrowingPot,Hydroponics Unit (Steel),Hydroponik-Einheit (Stahl),Plot horticole (acier),Terreno da Coltivazione (Acciaio),"Unidad de Hidroponía (Acero)",Terreno Emergente (Aço),Terra Arada (Aço),Działka ogrodnicza (stal),Растительный модуль (Сталь),農地(スチール),植物生长箱 (钢制),植物培養槽（鋼鐵）,성장 대지(강철),,,Groeiplaats (Staal),Ô đất trồng (bằng thép)
GrowingPotConcrete,Hydroponics Unit (Concrete),Hydroponik-Einheit (Beton),Plot horticole (béton),Terreno da Coltivazione (Calcestruzzo),"Unidad de Hidroponía (Hormigón)",Terreno Emergente (Cimento),Terra Arada (Concreto),Działka ogrodnicza (beton),Растительный модуль (Бетон),農地(コンクリート),植物生长箱 (水泥),植物培養槽（混凝土）,성장 대지(콘크리트),,,Groeiplaats (Beton),Ô đất trồng (bằng bê tông)
GrowingPotWood,Hydroponics Unit (Wood),Hydroponik-Einheit (Holz),Plot horticole (bois),Terreno da Coltivazione (Legno),"Unidad de Hidroponía (Madera)",Terreno Emergente (Madeira),Terra Arada (Madeira),Działka ogrodnicza (drewno),Растительный модуль (Дерево),農地(木材),植物生长箱 (木制),植物培養槽（木材）,성장 대지(목재),,,Groeiplaats (Hout),Ô đất trồng (bằng gỗ)
HullArmoredLargeBlocks,Hardened Steel Blocks (Large),Gehärtete Stahlblöcke L,Blocs acier blindé L,Blocchi di Acciaio Rinforzato L,"Bloques de Acero Endurecido (Grandes)",Blocos de Aço Temperado L,Bloco de Aço Reforçado G,,Прочные стальные блоки Б,硬化スチールL,加固钢制方块 L,硬化鋼大方塊,경화 강철 블록 L,,,Gehard staal blokken L,Khối thép cứng L
HullArmoredSmallBlocks,Hardened Steel Blocks (Small),Gehärtete Stahlblöcke S,Blocs acier blindé S,Blocchi di Acciaio Rinforzato S,"Bloques de Acero Endurecido (Pequeños)",Blocos de Aço Temperado S,Blocos de Aço Reforçado P,,Прочные стальные блоки М,硬化スチールS,加固钢制方块 S,硬化鋼小方塊,경화 강철 블록 S,,,Gehard staal blokken S,Khối thép cứng S
HullArmoredFullLarge,Hardened Steel Block (Large),Gehärteter Stahlblock L,Bloc acier blindé L,Blocco di Acciaio Rinforzato L,"Bloque de Acero Endurecido (Grande)",Bloco de Aço Temperado L,Bloco de Aço Reforçado G,Blok ze stali hartowanej L,Прочный стальной блок Б,硬化スチールL,加固钢制方块 L,硬化鋼大方塊,경화 강철 블록 L,,,Gehard staal blok L,Thép tôi cứng L
